epoch,train_loss,valid_loss,accuracy,time
0,0.5417380332946777,0.6097845435142517,0.8035123348236084,01:17
1,0.5926521420478821,0.6729831099510193,0.7813693284988403,01:17
2,0.701102614402771,0.9696192741394043,0.6762534976005554,01:17
3,0.7937453389167786,0.7960894107818604,0.7442097067832947,01:16
4,0.8508988618850708,1.4832253456115723,0.5337235927581787,01:17
5,0.830167293548584,0.7612028121948242,0.7419190406799316,01:16
6,0.8124125599861145,1.004364252090454,0.679816722869873,01:17
7,0.7685014009475708,0.681939959526062,0.7803512215614319,01:17
8,0.7262011170387268,0.7707841992378235,0.7401374578475952,01:18
9,0.681318998336792,0.6836001873016357,0.7813693284988403,01:17
10,0.6104660034179688,0.7497385740280151,0.7653346657752991,01:18
11,0.5857816934585571,0.6562995314598083,0.7905319333076477,01:19
12,0.5206116437911987,0.6914849877357483,0.787223219871521,01:19
13,0.49129459261894226,0.5758476853370667,0.81674724817276,01:19
14,0.42704328894615173,0.6240794062614441,0.8129295110702515,01:20
15,0.3896520137786865,0.5931950211524963,0.8243827819824219,01:19
16,0.3525993824005127,0.5689747929573059,0.8294731378555298,01:19
17,0.3394933044910431,0.5628207921981812,0.8337999582290649,01:19
18,0.3179035484790802,0.5541271567344666,0.8373631834983826,01:19
19,0.3122866749763489,0.552608847618103,0.8363451361656189,01:19
