epoch,train_loss,valid_loss,accuracy,time
0,2.0718328952789307,2.30830717086792,0.2275388091802597,01:18
1,2.01350736618042,1.9026286602020264,0.33799949288368225,01:17
2,1.9188531637191772,2.283160448074341,0.24586409330368042,01:18
3,1.807444453239441,1.7643202543258667,0.39679306745529175,01:18
4,1.6428788900375366,2.012317657470703,0.39221176505088806,01:18
5,1.519050121307373,1.2662640810012817,0.5660473108291626,01:18
6,1.3723552227020264,1.606256365776062,0.4644947946071625,01:19
7,1.2914092540740967,1.0920976400375366,0.6256044507026672,01:19
8,1.1643165349960327,1.3147372007369995,0.5477220416069031,01:18
9,1.0967103242874146,0.9172534942626953,0.689742922782898,01:19
10,0.9774380326271057,0.9271328449249268,0.68465256690979,01:19
11,0.9078707695007324,0.819527268409729,0.7269025444984436,01:19
12,0.8225175738334656,0.8004248738288879,0.7279205918312073,01:19
13,0.7408784031867981,0.6958914399147034,0.7673708200454712,01:18
14,0.6963186860084534,0.6652948260307312,0.7760244607925415,01:19
15,0.6567063331604004,0.6319664120674133,0.789513885974884,01:19
16,0.5868302583694458,0.6079124808311462,0.796894907951355,01:19
17,0.5776631236076355,0.6074821949005127,0.8017306923866272,01:18
18,0.5415928363800049,0.5948787927627563,0.8047849535942078,01:18
19,0.5285909175872803,0.5929240584373474,0.8052939772605896,01:18
